US,20161007,41.7
US,20161008,42.8
US,20161009,45.0
US,20161010,38.9
US,20161011,38.9
US,20161012,37.8
US,20161013,38.9
US,20161014,37.2
US,20161015,38.3
US,20161016,39.4
US,20161017,40.0
US,20161018,42.2
US,20161019,40.6
US,20161020,62.2
US,20161021,43.3
US,20161022,60.6
US,20161023,65.0
US,20161024,61.1
US,20161025,137.1
US,20161026,56.1
US,20161027,55.6
US,20161028,38.3
US,20161029,47.2
US,20161030,64.4
US,20161031,54.4
US,20161101,46.7
US,20161102,36.7
US,20161103,36.7
US,20161104,35.6
US,20161105,36.1
US,20161106,53.9
US,20161107,57.2
US,20161108,43.9
US,20161109,43.3
US,20161110,38.3
US,20161111,36.7
US,20161112,37.2
US,20161113,37.8
US,20161114,38.3
US,20161115,34.4
US,20161116,34.4
US,20161117,34.4
US,20161118,33.3
US,20161119,33.3
US,20161120,36.1
US,20161121,32.2
US,20161122,32.2
US,20161123,32.2
US,20161124,36.7
US,20161125,35.0
US,20161126,32.2
US,20161127,32.8
US,20161128,37.8
US,20161129,36.7
US,20161130,37.2
US,20161201,31.5
US,20161202,32.2
US,20161203,34.4
US,20161204,31.7
US,20161205,31.7
US,20161206,32.2
US,20161207,31.7
US,20161208,31.7
US,20161209,48.9
US,20161210,37.8
US,20161211,37.8
US,20161212,33.9
US,20161213,32.2
US,20161214,31.7
US,20161215,36.1
US,20161216,31.1
US,20161217,33.9
US,20161218,32.8
US,20161219,33.9
US,20161220,32.2
US,20161221,31.7
US,20161222,29.4
US,20161223,31.7
US,20161224,32.8
US,20161225,32.2
US,20161226,33.3
US,20161227,31.9
US,20161228,31.7
US,20161229,31.1
US,20161230,60.0
US,20161231,29.4
