Número de registros;Country;Date;Tmax
1;US;17/06/2016;43,9
1;US;23/08/2016;43,9
1;US;26/08/2016;43,9
1;US;11/09/2016;43,9
1;US;08/11/2016;43,9
1;US;19/04/2016;44,4
1;US;10/06/2016;44,4
1;US;15/06/2016;44,4
1;US;28/03/2016;45
1;US;06/04/2016;45
1;US;30/05/2016;45
1;US;16/06/2016;45
1;US;10/08/2016;45
1;US;11/08/2016;45
1;US;22/08/2016;45
1;US;25/08/2016;45
1;US;28/08/2016;45
1;US;02/09/2016;45
1;US;03/09/2016;45
1;US;20/09/2016;45
1;US;09/10/2016;45
1;US;30/04/2016;45,6
1;US;06/07/2016;45,6
1;US;07/07/2016;45,6
1;US;09/08/2016;45,6
1;US;24/08/2016;45,6
1;US;19/09/2016;45,6
1;US;31/05/2016;46,1
1;US;01/07/2016;46,1
1;US;10/07/2016;46,1
1;US;04/08/2016;46,1
1;US;20/08/2016;46,1
1;US;21/08/2016;46,1
1;US;01/09/2016;46,3
1;US;06/08/2016;46,5
1;US;22/04/2016;46,7
1;US;01/06/2016;46,7
1;US;02/07/2016;46,7
1;US;05/07/2016;46,7
1;US;08/07/2016;46,7
1;US;11/07/2016;46,7
1;US;12/07/2016;46,7
1;US;18/07/2016;46,7
1;US;07/08/2016;46,7
1;US;19/08/2016;46,7
1;US;27/09/2016;46,7
1;US;01/11/2016;46,7
1;US;20/04/2016;47,2
1;US;21/04/2016;47,2
1;US;06/06/2016;47,2
1;US;09/07/2016;47,2
1;US;13/07/2016;47,2
1;US;19/07/2016;47,2
1;US;05/08/2016;47,2
1;US;08/08/2016;47,2
1;US;12/08/2016;47,2
1;US;18/08/2016;47,2
1;US;31/08/2016;47,2
1;US;29/10/2016;47,2
1;US;09/04/2016;47,8
1;US;03/06/2016;47,8
1;US;07/06/2016;47,8
1;US;09/06/2016;47,8
1;US;03/07/2016;47,8
1;US;17/07/2016;47,8
1;US;03/08/2016;47,8
1;US;17/08/2016;47,8
1;US;29/08/2016;47,8
1;US;01/05/2016;48,3
1;US;05/06/2016;48,3
1;US;18/06/2016;48,3
1;US;24/06/2016;48,3
1;US;04/07/2016;48,3
1;US;16/07/2016;48,3
1;US;01/08/2016;48,3
1;US;02/06/2016;48,9
1;US;08/06/2016;48,9
1;US;22/06/2016;48,9
1;US;15/07/2016;48,9
1;US;20/07/2016;48,9
1;US;31/07/2016;48,9
1;US;02/08/2016;48,9
1;US;13/08/2016;48,9
1;US;09/12/2016;48,9
1;US;04/06/2016;49,4
1;US;14/07/2016;49,4
1;US;22/07/2016;49,4
1;US;23/07/2016;49,4
1;US;30/07/2016;49,4
1;US;01/02/2016;50
1;US;19/06/2016;50
1;US;26/06/2016;50
1;US;25/07/2016;50
1;US;14/08/2016;50
1;US;30/08/2016;50
1;US;10/09/2016;50
1;US;24/09/2016;50
1;US;15/08/2016;50,6
1;US;27/06/2016;51,1
1;US;21/07/2016;51,1
1;US;24/07/2016;51,1
1;US;26/07/2016;51,1
1;US;25/09/2016;51,1
1;US;16/08/2016;51,7
1;US;21/06/2016;52,2
1;US;27/07/2016;52,2
1;US;28/07/2016;52,2
1;US;29/07/2016;52,8
1;US;31/01/2016;53,3
1;US;29/04/2016;53,3
1;US;03/05/2016;53,3
1;US;25/04/2016;53,9
1;US;04/05/2016;53,9
1;US;05/05/2016;53,9
1;US;26/09/2016;53,9
1;US;06/11/2016;53,9
1;US;06/05/2016;54,4
1;US;07/05/2016;54,4
1;US;31/10/2016;54,4
1;US;08/05/2016;55
1;US;23/06/2016;55
1;US;27/10/2016;55,6
1;US;26/10/2016;56,1
1;US;09/05/2016;56,7
1;US;10/05/2016;56,7
1;US;20/06/2016;56,7
1;US;18/09/2016;56,7
1;US;07/11/2016;57,2
1;US;26/04/2016;57,8
1;US;25/06/2016;57,8
1;US;02/05/2016;58,3
1;US;30/06/2016;58,3
1;US;29/06/2016;58,9
1;US;27/04/2016;59,4
1;US;17/05/2016;59,4
1;US;02/02/2016;60
1;US;03/02/2016;60
1;US;04/02/2016;60
1;US;05/02/2016;60
1;US;06/02/2016;60
1;US;07/02/2016;60
1;US;08/02/2016;60
1;US;09/02/2016;60
1;US;10/02/2016;60
1;US;11/02/2016;60
1;US;12/02/2016;60
1;US;13/02/2016;60
1;US;14/02/2016;60
1;US;18/02/2016;60
1;US;22/02/2016;60
1;US;26/02/2016;60
1;US;29/02/2016;60
1;US;01/03/2016;60
1;US;02/03/2016;60
1;US;17/03/2016;60
1;US;28/04/2016;60
1;US;11/05/2016;60
1;US;12/05/2016;60
1;US;13/05/2016;60
1;US;14/05/2016;60
1;US;15/05/2016;60
1;US;16/05/2016;60
1;US;18/05/2016;60
1;US;19/05/2016;60
1;US;20/05/2016;60
1;US;28/06/2016;60
1;US;30/12/2016;60
1;US;22/10/2016;60,6
1;US;24/10/2016;61,1
